,Price,Open,High,Low,,
04/30/2025,"2,604.50","2,675.00","2,698.20","2,582.00",,
04/29/2025,"2,669.00","2,720.10","2,762.30","2,650.00",,
04/28/2025,"2,700.20","2,650.00","2,746.90","2,626.00",,
04/25/2025,"2,676.50","2,625.00","2,775.00","2,590.20",,
04/24/2025,"2,839.90","2,920.00","2,956.00","2,821.50",,
04/23/2025,"3,007.70","2,820.00","3,116.30","2,740.80",,
04/22/2025,"2,615.90","2,520.00","2,649.00","2,508.00",,
04/21/2025,"2,444.20","2,350.00","2,466.00","2,345.10",,
04/17/2025,"2,323.00","2,279.00","2,377.10","2,275.00",,
04/16/2025,"2,229.60","2,218.00","2,261.20","2,200.60",,
04/15/2025,"2,218.50","2,200.00","2,223.90","2,176.20",,
04-11-2025,"2,161.45","2,240.00","2,240.00","2,150.00",,
04-09-2025,"2,149.40","2,114.00","2,161.85","2,072.20",,
04-08-2025,"2,114.80","2,151.20","2,178.00","2,100.20",,
04-07-2025,"2,092.15","1,869.95","2,137.70","1,863.00",,
04-04-2025,"2,160.95","2,232.95","2,232.95","2,131.20",,
04-03-2025,"2,233.05","2,239.85","2,264.30","2,205.05",,
04-02-2025,"2,280.20","2,343.75","2,343.75","2,268.55",,
04-01-2025,"2,379.85","2,380.00","2,421.00","2,368.05",,
03/28/2025,"2,404.65","2,453.75","2,469.00","2,383.05",,
03/27/2025,"2,435.85","2,417.90","2,450.00","2,371.00",,
03/26/2025,"2,427.10","2,454.75","2,464.60","2,392.50",,
03/25/2025,"2,440.95","2,450.55","2,508.00","2,392.60",,
03/24/2025,"2,431.35","2,395.00","2,449.70","2,382.65",,
03/21/2025,"2,352.90","2,254.55","2,374.00","2,233.00",,
03/20/2025,"2,253.40","2,271.90","2,303.65","2,222.30",,
03/19/2025,"2,255.20","2,192.90","2,268.40","2,184.00",,
03/18/2025,"2,178.80","2,150.00","2,186.75","2,131.90",,
03/17/2025,"2,114.90","2,138.90","2,183.00","2,090.00",,
03/13/2025,"2,125.25","2,128.00","2,153.90","2,096.40",,
03-12-2025,"2,117.55","2,130.00","2,149.75","2,102.00",,
03-11-2025,"2,114.25","2,110.00","2,129.95","2,086.75",,
03-10-2025,"2,140.90","2,237.80","2,250.00","2,125.00",,
03-07-2025,"2,226.10","2,204.90","2,281.45","2,191.40",,
03-06-2025,"2,209.90","2,246.00","2,254.00","2,199.00",,
03-05-2025,"2,224.80","2,115.20","2,247.00","2,115.20",,
03-04-2025,"2,109.45","2,079.85","2,164.00","2,072.05",,
03-03-2025,"2,116.05","2,179.00","2,179.05","2,066.40",,
02/28/2025,"2,158.55","2,168.00","2,194.95","2,127.10",,
02/27/2025,"2,212.90","2,297.00","2,298.00","2,198.25",,
02/25/2025,"2,268.75","2,243.95","2,294.90","2,241.00",,
02/24/2025,"2,232.85","2,207.95","2,274.80","2,195.05",,
02/21/2025,"2,260.70","2,310.00","2,344.40","2,242.00",,
02/20/2025,"2,309.30","2,225.00","2,364.90","2,220.00",,
02/19/2025,"2,220.30","2,150.00","2,266.85","2,135.00",,
02/18/2025,"2,164.60","2,181.00","2,193.05","2,134.35",,
02/17/2025,"2,173.60","2,100.00","2,185.90","2,052.40",,
02/14/2025,"2,103.90","2,210.90","2,218.95","2,085.25",,
02/13/2025,"2,194.05","2,191.10","2,258.00","2,168.25",,
