Date,Price,Open,High,Low,,
05/21/2025,221,221.2,221.95,217.35,,
05/20/2025,222.25,223.35,224.15,221.35,,
05/19/2025,221.8,219,222.15,218.75,,
05/16/2025,219.95,223.85,224.1,218.1,,
05/15/2025,221.85,219.5,222.05,214.2,,
05/14/2025,224.05,224.45,225.5,220.75,,
05/13/2025,225.15,223.3,225.15,221.75,,
05-12-2025,221.75,219.2,226.95,219.05,,
05-09-2025,214.05,213.85,215.55,213.75,,
05-08-2025,213.2,210.45,214.95,210.35,,
05-07-2025,209.15,208.7,212.75,208.45,,
05-06-2025,208.95,212,212.2,204.05,,
05-05-2025,211.25,208.55,211.7,208.1,,
05-02-2025,209.8,206.7,210,204.95,,
04/30/2025,201.95,202.75,204.9,198.96,,
04/29/2025,202.25,205,205.8,200.95,,
04/28/2025,205.05,206.8,207.95,204.8,,
04/25/2025,206.8,202.5,207.1,202,,
04/24/2025,200.65,195.9,200.65,193.24,,
04/23/2025,196.5,191.72,199,191.06,,
04/22/2025,189.32,187.36,189.32,184.4,,
04/17/2025,187.02,190.1,191.5,186.06,,
04/16/2025,186.14,183,186.46,180.96,,
04/15/2025,185.3,185.46,188.48,183.22,,
04/14/2025,185.7,185.86,187.62,183.44,,
04-11-2025,180.68,188.12,188.96,177.46,,
04-10-2025,186.94,198.52,199.96,186.56,,
04-09-2025,177.16,176.12,180.78,174.06,,
04-08-2025,182.74,180.1,185.9,179.6,,
04-07-2025,176.6,167.06,190.8,162.38,,
04-04-2025,185.62,194.22,194.84,180.1,,
04-03-2025,197.48,204.95,208.45,195.74,,
04-02-2025,214.75,213.3,214.9,210.7,,
04-01-2025,214.75,214.35,216.35,211.7,,
03/31/2025,211.9,214.95,215.55,208,,
03/28/2025,216,219.25,219.8,214.75,,
03/27/2025,221.55,223.45,225.7,220.15,,
03/26/2025,224.5,230.6,231.2,223.2,,
03/25/2025,228.9,225.05,230.1,222.95,,
03/24/2025,225.35,229.8,230.15,224.7,,
03/21/2025,228.85,232.25,233.3,227.15,,
03/20/2025,234.45,236.25,239.6,233.8,,
03/19/2025,236.7,231,240.7,230.35,,
03/18/2025,237,236.55,241.9,235.5,,
03/17/2025,234.3,232.3,234.3,229.7,,
03/14/2025,231.75,224.8,233.55,224.2,,
03/13/2025,226.5,226.2,227.95,223.4,,
03-12-2025,226.85,227.3,231.5,226.15,,
03-11-2025,223.2,231.9,232.25,223.2,,
03-10-2025,228.4,235.15,236.3,222.55,,
03-07-2025,234.3,238.55,240.85,232.55,,
03-06-2025,243,233.85,244.85,232.5,,
03-05-2025,231.55,230,232.7,223.1,,
03-04-2025,213.3,219.7,220.75,213.15,,
03-03-2025,225.95,221.5,227.95,219.4,,
02/28/2025,221.2,217.65,221.25,217.3,,
02/27/2025,220.6,221.65,222.4,218.05,,
02/26/2025,223.45,221,224.4,220.25,,
02/25/2025,216.6,215.5,218.5,215.1,,
02/24/2025,218.1,225.5,225.5,216.7,,
02/21/2025,221.45,222.15,223.45,220.4,,
02/20/2025,221.25,222.2,224.1,220.7,,
02/19/2025,220.35,225.85,228.3,220.35,,
02/18/2025,226.2,227,227.9,225.15,,
02/17/2025,227,224.2,227,224.2,,
02/14/2025,225.2,227.15,227.15,222.5,,
02/13/2025,227.45,226.95,228.1,220.95,,
02-12-2025,212.05,213.45,214.5,209.95,,
02-11-2025,214.9,210.75,214.9,210.25,,
02-10-2025,211.15,207.55,212.2,206.55,,
02-07-2025,207.45,208.2,209.25,206.4,,
02-06-2025,208.05,202.9,208.5,201.7,,
02-05-2025,201.25,200,201.25,199.2,,
02-04-2025,201.85,202.15,203.7,200,,
02-03-2025,202.1,201.25,202.8,199.6,,
01/31/2025,207.45,206,207.7,204.55,,
01/30/2025,205.15,204.85,207.75,203.9,,
01/29/2025,203.35,201.8,204.25,201.35,,
01/28/2025,200.05,201.65,201.9,197.82,,
01/27/2025,201.4,201.2,203.05,197.26,,
01/24/2025,208.45,209.25,210.05,208,,
01/23/2025,209,208.05,209.4,207.05,,
01/22/2025,207.15,205.25,208.25,205.1,,
01/21/2025,204.15,201.35,204.6,201.35,,
01/20/2025,201.8,201,202.8,200.85,,
01/17/2025,200.85,196.8,200.9,196.64,,
01/16/2025,195.16,197.16,197.18,194.08,,
01/15/2025,195.58,193.94,197.2,192.94,,
01/14/2025,193.96,194.6,195.96,193.8,,
01/13/2025,193.18,193.38,193.98,190.92,,
